time,pos,bid,score,first,trump,tricks
1539950569,3,1,11,0,D,"HJ,HK,HA,D5;C8,D4,H5,C7;S5,H4,SJ,SK"
1539950569,3,0,0,3,S,"DA,D4,S4,D9;C6,DK,C10,C4;C2,DJ,S6,SQ;H5,H6,H10,C7"
1539950569,3,3,0,2,C,"S9,S7,H2,SA;C2,C6,D10,SK;CK,HK,HA,C3;DJ,D4,DA,D8;D6,CJ,HJ,C10"
1539950569,3,3,0,1,S,"DK,S3,DJ,DA;S5,HA,H6,S2;CK,C2,C6,CA;S6,S8,D10,DQ;SJ,SQ,S7,D6;C3,H3,C5,D7"
1539950569,3,3,13,0,C,"S6,SA,SK,S3;C10,CA,C3,CJ;H3,SJ,SQ,S2;D8,D6,D3,DQ;D4,C8,HK,DJ;H5,S8,H9,C5;HQ,H10,H7,C6"
1539950569,3,3,0,3,S,"HA,H7,HJ,H10;SJ,S9,SK,SA;C10,CJ,CK,CQ;D4,DK,D6,S3;S6,C2,H3,H9;S10,C3,S2,S4;C6,D5,C5,H4;D3,D9,D2,H6"
1539950569,3,4,14,2,S,"SJ,S5,CA,SA;S6,C6,DQ,SK;HA,D9,H3,H10;D7,DK,D3,D4;C4,C10,C2,C7;C3,CK,CJ,S7;D2,D10,HQ,S8;H6,DJ,H7,H2;H5,CQ,D5,H8"
1539950569,3,3,0,1,C,"CA,CQ,CK,C5;HK,HA,H10,HJ;D10,DK,D7,DA;S8,S2,SJ,SA;C4,C2,S9,SK;C10,H5,C6,H4;D2,DQ,D6,DJ;H9,HQ,H3,S4;D8,H7,H2,D4;D3,D9,S6,SQ"
1539950569,3,2,0,0,C,"C4,CA,C6,C9;C3,CK,S4,C2;S3,SQ,SA,SK;D9,DQ,DK,D7;HK,C5,H4,H9;H2,CQ,HQ,S5;S2,CJ,H8,D6;D5,DJ,D8,H6;H3,D2,S7,S8;H7,S9,S6,SJ;HJ,C7,H5,S10"
1539950569,3,1,11,3,H,"HA,HQ,HK,H7;DA,D10,D7,DK;CQ,C10,CA,C9;SQ,S10,SA,SK;C8,C7,CK,C5;C3,C6,CJ,C2;H8,H6,HJ,S4;DJ,D3,D2,D9;S9,S8,S2,SJ;S7,S3,S6,S5;H2,H5,H3,D8;D4,H4,C4,D6"
1539950569,3,1,11,0,H,"D8,DA,DK,DQ;CA,CQ,C2,C10;CJ,C4,H4,C7;S6,S9,SK,S10;HJ,H9,HQ,HA;H2,S7,SJ,S2;C9,H7,H6,C3;D3,D10,D9,D5;H3,D2,D4,D7;C6,D6,S3,C5;H5,S4,S8,DJ"
1539950569,3,3,13,1,H,"CQ,C8,CA,C10;SJ,SA,SQ,S10;S8,SK,S7,H4;DA,D2,DQ,DK;CJ,H3,C3,C2;H8,HJ,H5,HQ;D4,H6,DJ,D10;H7,S5,S6,H9;C7,S3,D6,D5;C9,S4,S2,D9"
1539950569,3,2,0,2,H,"DJ,D9,D10,DA;HQ,H6,H3,HA;S7,S10,SK,S4;S5,S9,S2,S8;H5,S3,CA,SQ;C8,C4,C7,C10;H7,C9,CQ,CK;H8,CJ,D8,D6;D2,S6,D7,DQ"
1539950569,3,1,0,3,S,"SK,H5,SA,S4;S8,CJ,CQ,C10;HK,HQ,H6,HJ;SQ,C6,S10,C3;D2,DA,D7,D5;D10,D8,D3,C4;DQ,DJ,S5,H7;H4,C8,S7,H9"
1539950569,3,0,10,0,H,"D3,DK,D6,D7;HJ,H6,HK,CK;SJ,CQ,SA,S5;H8,DQ,HQ,SQ;CA,C8,C7,CJ;H5,C9,S10,DJ;C2,D8,S8,D10"
1539950569,3,2,0,1,S,"DA,DQ,D2,D8;C7,C10,C5,S2;H10,S4,H3,H7;HK,SA,DK,S5;C9,D4,D5,H2;C8,DJ,D7,H6"
1539950569,3,2,0,2,H,"HK,H10,H4,HQ;C2,CA,CQ,C10;D10,DQ,DA,D4;SK,DJ,D7,H2;C6,SJ,C3,C4"
1539950569,3,0,10,3,D,"HK,H8,H10,H5;C2,CA,SJ,C9;C5,S8,S7,HQ;D3,C10,S10,H9"
1539950569,3,1,11,0,S,"D9,D8,D4,SJ;C7,HQ,H10,H2;C6,HK,C9,C3"
