time,pos,bid,score,first,trump,tricks
1539530728,2,1,0,0,C,"D5,S2,CA,C4;S6,H4,SQ,S4;HA,H7,HK,DQ"
1539530728,2,0,10,0,D,"D8,H3,S9,H2;S6,S7,S4,DK;C7,HA,CK,H9;C8,C2,S8,CA"
1539530728,2,1,0,0,S,"D9,C7,HJ,S6;H3,SA,SJ,S8;D7,S5,C6,S4;C9,CA,H5,C3;C8,H4,H7,S10"
1539530728,2,1,0,0,D,"DA,D10,D7,H5;DK,DJ,S4,S2;D5,SJ,S5,H7;H4,H10,HA,H9;S8,SA,CQ,C5;S10,HJ,H8,H6"
1539530728,2,1,0,0,C,"S8,SA,S3,HK;C4,CK,C7,C9;DQ,D3,DJ,D5;D2,D10,D7,DA;HJ,H3,H8,H10;H2,D8,D9,C2;D6,CA,S9,C6"
1539530728,2,1,0,0,C,"H10,HK,H5,H7;SA,S4,S9,S6;C4,SQ,C3,CJ;S2,HJ,H8,HQ;D2,D6,D5,H4;S7,D7,D9,C2;S8,DA,DJ,DQ;SK,D8,D4,H3"
1539530728,2,3,13,0,D,"D4,D10,DK,D3;S7,S9,S2,S5;C5,S4,S3,SQ;H10,HQ,HA,HJ;CJ,C8,CQ,C7;C10,C6,C2,H9;C9,S8,D7,DJ;H6,H2,D5,D6;H8,H5,HK,D9"
1539530728,2,3,0,0,H,"SA,S6,S7,S4;HA,SJ,H7,H4;HQ,C3,HK,H5;C5,CQ,C10,C2;H10,C7,C4,C6;H2,C8,H8,H6;D9,DK,D5,D8;D2,D3,D10,S10;S3,D6,CJ,SQ;S9,DJ,SK,S8"
1539530728,2,4,14,0,D,"H6,HK,H10,H9;DJ,D3,DQ,D4;H2,HQ,HJ,H3;SK,S9,S8,S3;D7,DK,D5,D2;S5,S10,D6,S7;CA,C9,C10,C8;C5,C7,C6,CK;C2,H5,HA,H7;S2,C4,C3,H4;S4,SA,D10,SJ"
1539530728,2,1,0,0,C,"D6,DQ,D9,D10;SA,S4,S3,SJ;CA,C7,C2,C6;CK,S6,H4,C5;C8,S9,S8,C4;C3,S10,H9,CJ;H2,HQ,H10,HA;D3,D8,DA,D7;S5,SQ,S7,H7;H5,SK,D4,HJ;H8,D2,DJ,H6;HK,D5,DK,H3"
1539530728,2,1,0,0,D,"CK,CA,C8,C6;DQ,D2,D7,D3;DJ,D6,CQ,DA;HA,H3,HK,H7;H5,S6,H10,H6;S5,S9,SJ,S7;H2,C2,S2,SA;HQ,C5,C10,H4;H8,D8,S8,HJ;H9,D10,C3,C9;CJ,DK,S4,C7"
1539530728,2,0,10,0,C,"H2,C3,C2,C7;DJ,DK,DQ,D5;S5,C6,SA,C4;S6,C8,HK,SK;SJ,S3,S9,S10;H6,H4,H3,D7;HQ,HA,H8,D3;S7,S8,H5,SQ;D8,D9,H9,DA;H7,D2,H10,D4"
1539530728,2,2,12,0,S,"SA,S4,S7,S3;CQ,C3,C5,C8;C4,C6,C2,D10;H2,S5,SJ,S8;D6,DK,DQ,DA;D7,C7,D5,D4;H8,H6,HA,H10;C9,CJ,H7,HK;CK,S6,D9,H3"
1539530728,2,1,0,0,D,"H3,CK,C8,C7;S3,D2,D3,D8;SJ,S10,CA,S9;H5,H9,H8,H4;S5,D4,C10,D9;HQ,S2,CJ,SQ;HK,HJ,C2,SA;HA,D7,C4,C6"
1539530728,2,1,11,0,D,"HJ,H2,H10,H3;DK,DA,DQ,D5;D6,D2,H8,D10;S2,C6,C3,D7;C9,C8,CK,C4;S7,C10,S3,D4;S5,H4,S8,H5"
1539530728,2,1,0,0,H,"HQ,H9,H4,DQ;H5,H10,C7,C10;H2,S3,S6,S5;D10,D5,CQ,D7;D8,S10,C6,CJ;D9,C4,CA,S4"
1539530728,2,0,10,0,S,"SQ,SK,C10,S9;S10,C2,C7,C8;DK,CQ,D5,H2;D2,H3,HQ,H9;D8,H8,CA,S3"
1539530728,2,1,0,0,C,"S7,C5,C7,CK;HQ,C8,H2,H3;S8,C10,D2,CA;DQ,CQ,SK,DK"
1539530728,2,3,13,0,D,"D2,S6,DJ,CK;C3,C2,DA,S9;C10,HQ,D3,H7"
1539530728,0,1,11,2,S,"CA,HQ,CK,S7;S9,C3,C2,CQ;D5,SJ,S2,C9"
1539530728,0,1,11,2,H,"CQ,S7,DA,C9;C6,S9,DK,HA;D9,SQ,SJ,SA;HQ,HK,D6,H10"
1539530728,0,1,11,2,D,"H6,H7,HA,D8;SJ,C2,S10,SK;D6,CA,C5,C4;H10,D2,H5,D4;H3,D5,HQ,D9"
1539530728,0,2,12,2,C,"SK,H7,HA,H4;D6,D4,D7,D8;C10,S2,DA,H6;S7,SA,DJ,S10;S8,S9,C3,SQ;C7,D3,C5,D2"
1539530728,0,2,0,2,S,"CQ,CA,C3,C4;D10,DJ,D5,DQ;C7,H10,H4,H2;S3,S10,S4,HA;D3,D9,DK,D6;C8,H3,C6,DA;S5,H7,S6,H5"
1539530728,0,1,11,2,D,"HJ,HA,H4,H7;HK,HQ,H6,D9;C10,S3,CJ,C4;D8,D7,DA,D4;H2,H9,H8,C6;S10,S7,S5,S2;CK,D3,H10,C5;SJ,D5,S8,SA"
1539530728,0,4,0,2,C,"C5,DQ,DA,D7;S7,S10,SK,S3;C8,C6,C9,CA;HJ,H7,H8,H5;CJ,C4,CQ,S2;S5,D3,S6,SA;H3,D4,D8,HK;C10,D9,D5,H4;S8,D10,S9,H2"
1539530728,0,2,0,2,D,"H4,HJ,HQ,H10;C7,CQ,CK,CJ;S7,S9,S6,S3;D2,DQ,D9,D5;D4,D10,H9,H7;HK,H8,H5,H3;C10,C8,SK,C6;HA,S2,SQ,CA;C3,D3,SJ,C2;SA,S4,S8,C5"
1539530728,0,4,14,2,C,"D5,DK,DJ,D6;H10,HQ,HJ,HK;C2,C7,CA,C4;S2,S8,SK,SA;CQ,C3,CJ,C9;S10,S6,SQ,S7;DA,D10,D4,C8;S3,H9,H2,HA;S9,H7,H8,S5;C6,D7,H4,H6;C5,D9,D8,H5"
1539530728,0,2,12,2,H,"C8,CK,CQ,CA;SQ,SK,S3,SA;S7,S10,H4,S2;D8,D7,DA,D3;H6,H8,HA,HK;D6,D5,D9,DJ;C2,C5,C3,C9;HQ,H7,H5,HJ;DK,D4,DQ,C10;S9,S5,CJ,SJ;S8,D2,C4,C6;S4,H3,C7,H10"
1539530728,0,2,0,2,H,"D3,DQ,D10,D9;H10,HQ,HA,H5;SJ,S6,S7,S2;H4,H3,H2,H7;CK,C9,C7,C4;C8,C3,CJ,C6;S5,S4,S9,H6;CQ,D4,D2,C2;D8,DJ,SK,D7;C5,D6,S10,DA;S3,D5,H9,CA"
1539530728,0,4,0,2,D,"D7,D3,D9,DA;H3,HK,H8,HA;C5,CQ,C8,CJ;S8,SA,S3,S4;D10,SK,S5,S10;D4,S2,HJ,D2;C6,C10,H10,C4;CK,H6,SJ,H7;C2,C3,S7,CA;D5,H4,S6,H9"
1539530728,0,3,0,2,H,"S10,H2,SA,S4;H5,CK,C6,C4;HJ,H7,H6,H4;S5,C7,S2,C8;HK,D8,C2,D2;D9,D10,DK,DJ;S7,C10,D5,D3;SQ,CJ,D6,D7;SJ,CQ,DQ,CA"
1539530728,0,3,13,2,S,"S9,D2,SQ,S5;DA,D4,D8,D7;S6,C3,S3,DJ;H10,H3,H2,HQ;D9,C4,D10,D6;D5,C7,DQ,H5;SK,CJ,S7,HK;C5,CA,H6,C9"
1539530728,0,4,14,2,H,"DQ,DA,D4,H7;C8,CQ,C5,C6;HA,DJ,D8,HK;HJ,H10,D9,C2;H6,H5,C10,C4;H4,D7,S5,CJ;SQ,D10,S4,SK"
1539530728,0,1,11,2,D,"HJ,H8,HK,H10;H2,CQ,CA,C10;S7,H3,SK,SJ;D9,C5,CJ,C7;S6,H5,D2,D4;S8,H7,D10,DQ"
1539530728,0,0,10,2,C,"D2,D5,D4,DK;S3,C3,H10,C7;H7,S4,S7,S2;D8,H5,DJ,SJ;D10,H8,DA,H4"
1539530728,0,2,12,2,D,"D5,S6,DA,H10;C10,CK,CQ,H7;SA,SK,SJ,S10;D7,C7,D2,H4"
1539530728,0,0,10,2,S,"D2,CA,D9,CK;H2,C5,D7,C7;HJ,D3,SJ,S3"
1539530729,1,0,10,1,C,"SK,H4,CJ,S3;HJ,D2,D4,D3;SQ,D5,DA,CK"
1539530729,1,0,10,1,H,"H5,CQ,H3,HK;S7,C9,S10,SK;C10,D10,D4,SA;DA,DQ,C5,H2"
1539530729,1,2,12,1,S,"H2,H8,S8,HJ;S4,D5,C4,CJ;H10,HA,CK,H7;D9,S6,CQ,SA;H6,S2,D10,DJ"
