time,pos,bid,score,first,trump,tricks
1539493196,1,1,0,3,S,"H5,H10,D5,H3;CJ,C7,C8,C4;H4,SK,SQ,D9"
1539493196,1,1,11,3,H,"H4,SK,SJ,SA;CJ,D8,H8,C7;D3,S2,S4,HJ;C5,HK,D5,D10"
1539493196,1,0,10,3,S,"DK,D9,D10,DQ;S2,D3,S9,S4;SQ,CJ,C2,C9;D8,D5,H4,H9;D7,H5,C6,H10"
1539493196,1,0,10,3,H,"D5,D10,DA,DK;S2,S3,SA,S9;CA,D6,H2,HA;S4,S8,S6,SQ;D2,D3,C3,D4;CQ,CK,H6,HQ"
1539493196,1,1,11,3,D,"D10,D3,S2,DK;S6,S4,S7,SK;H10,HQ,C4,H7;C3,CK,CA,C2;D5,C9,C7,D8;DA,S8,S10,S3;D4,H3,C8,H2"
1539493196,1,2,0,3,D,"D6,D4,DA,D8;C10,C3,CA,C7;HQ,S6,SA,SQ;D9,D7,D2,DK;H2,S7,C4,SK;DQ,H7,C8,CQ;D10,HJ,H6,H5;H10,HK,C9,H9"
1539493196,1,1,11,3,S,"H7,H8,H3,HK;H9,H2,S6,HQ;D3,D10,D2,D6;D4,D5,C2,D9;C4,H5,C7,HJ;SJ,DJ,S7,H10;CJ,C10,S9,C3;S2,S8,S10,S4;DA,CK,SQ,C9"
1539493196,1,4,14,3,D,"DQ,D9,D2,DA;S4,SQ,S3,SK;C2,CA,C3,CQ;H4,D3,D4,DK;S8,H2,HA,H10;S10,D6,S5,S7;CK,HQ,H6,H5;C6,D10,HJ,D7;C7,HK,SJ,D8;C8,H3,CJ,C5"
1539493196,1,5,15,3,C,"SJ,S10,S4,SA;D5,S3,S6,SQ;H2,HA,HK,HJ;DQ,D7,DJ,D10;CJ,CA,D2,C4;C9,C10,H5,C5;CK,CQ,D6,C7;H9,D4,H10,H3;H6,D3,HQ,H4;D9,C6,S8,S7;C2,C3,D8,S9"
1539493196,1,3,0,3,S,"S7,S2,SK,S4;SA,S5,SJ,S6;DQ,D9,D2,DK;H10,H6,H2,HA;C6,C10,C2,CA;D3,C7,C3,CQ;D6,DA,D7,DJ;H4,C4,C9,SQ;HK,D4,S10,D10;H5,CK,C5,H3;HQ,C8,H8,D5;H7,S8,H9,D8"
1539493196,1,6,0,3,S,"C9,C8,C5,CA;H2,H10,H6,HA;D6,D7,DA,D10;H9,HJ,HK,H5;DJ,H3,HQ,H7;CJ,SJ,CQ,C4;S8,S7,S2,S6;D5,S3,D8,D3;D2,SQ,S4,C6;C3,S5,D9,C7;CK,S10,C10,H8"
1539493196,1,1,11,3,D,"C7,C5,CA,C8;H4,H5,HQ,D10;S4,SA,S2,SK;C2,CQ,C10,D7;HA,H8,S3,SQ;DK,C3,S7,SJ;DA,D3,D4,S6;H3,HK,D6,S8;CJ,C6,DQ,S9;C9,C4,D8,S10"
1539493196,1,3,0,3,D,"SQ,S7,S8,SA;H8,H10,H3,HQ;D8,S10,DJ,S9;C6,CQ,CK,DA;HA,DK,HJ,H7;C3,C4,C8,DQ;D4,D10,D6,S4;D2,D5,D3,D9;CJ,C10,H4,S2"
1539493196,1,1,11,3,H,"HQ,H6,HJ,HK;CJ,C2,C10,CK;S8,S9,S5,SK;CA,C5,H5,CQ;DJ,DQ,D4,D2;SQ,S3,S10,H9;C3,C6,D10,D9;H10,C8,SJ,H8"
1539493196,1,3,0,3,H,"C10,C5,C7,C2;S4,SJ,SK,S6;D9,DJ,DK,D8;CJ,H2,DQ,HA;S7,S2,H7,S10;S3,H10,D3,C6;SA,H8,D6,H9"
1539493196,1,1,11,3,H,"S7,S10,S2,HK;C3,CK,C8,CQ;H9,SJ,S8,D5;C2,D3,H6,C9;D9,S9,D8,DJ;H8,H7,HA,C6"
1539493196,1,0,10,3,S,"S3,C5,C3,CK;D6,D3,D7,D8;D9,HA,SQ,C2;SK,H5,SA,S6;S7,HK,H9,S9"
1539493196,1,0,10,3,S,"HQ,D3,DA,D8;S4,D5,DK,SK;H7,C10,C8,CQ;S8,H10,SJ,H6"
1539493196,1,0,0,3,D,"D4,C7,DK,S6;SA,CA,C6,C8;H7,S7,C9,SK"
1539493196,0,2,0,0,S,"S10,H2,C8,SQ;SJ,H4,HJ,S6;D2,D8,CJ,C3"
1539493196,0,1,11,0,H,"D2,D10,D9,DK;C3,H9,HA,CK;SJ,S6,SK,CJ;H10,D5,D3,C9"
1539493196,0,1,11,0,S,"DJ,DK,S5,SQ;HQ,CK,C2,C10;D10,HK,H9,H6;D4,D8,SK,C9;S4,C7,H8,H3"
1539493196,0,2,0,0,H,"D2,D10,DA,DK;CJ,CQ,C4,C9;SJ,S6,S5,S8;H9,H4,H5,HA;DQ,D3,S9,D9;H6,H2,CA,D4"
1539493196,0,2,0,0,S,"S6,SK,SA,SQ;H7,HQ,HJ,HK;C6,CJ,C9,CK;DQ,D8,D7,D9;S7,SJ,S9,H5;DK,H10,S4,C2;D5,D6,D10,D2"
1539493196,0,2,0,0,D,"S9,SK,SA,S10;DJ,D7,DA,D4;CA,S8,SJ,CK;C6,C7,C8,C3;H10,C2,C10,H8;DK,D6,D8,H6;H9,S5,H7,H4;HK,S7,S6,H3"
1539493196,0,3,13,0,C,"DA,DJ,D8,DQ;S2,SJ,D2,SA;C5,CQ,C4,CA;C3,S3,H3,C9;C6,S4,D3,C7;SK,H5,D6,S10;H8,H10,H6,D7;D10,D9,HJ,D4;H4,D5,HA,S5"
1539493196,0,4,0,0,D,"H8,HK,HJ,HA;S2,D10,SJ,SA;C7,CK,C8,C5;H10,HQ,H9,H5;CA,CJ,C2,C4;D5,H2,D9,DA;D6,H4,S4,D2;SQ,H6,S5,S10;D8,C9,H7,H3;D4,C10,S8,C3"
1539493196,0,2,0,0,S,"HJ,H3,HK,HA;DJ,DQ,D5,DA;SA,SK,S10,SQ;DK,D8,D2,S9;S7,SJ,C2,S8;C10,CA,CJ,C5;C4,CK,C9,C3;CQ,C6,C8,H7;D7,D3,H4,H5;HQ,H2,H6,S4;D6,S3,C7,S2"
1539493196,0,4,0,0,C,"D7,DA,DK,D3;H6,HA,HK,HQ;D10,DQ,D5,D2;CJ,CQ,CK,CA;S8,S4,SK,SA;C5,H2,C8,C10;C7,D4,C4,C9;C6,D6,H3,C3;SJ,D9,S5,SQ;H5,HJ,H10,H8;S10,DJ,H4,S7;S3,H9,S6,H7"
