time,pos,bid,score,first,trump,tricks
1539675864,1,1,11,1,C,"H9,CA,D2,C6;H4,H5,HA,D10;D5,H7,HQ,C3"
1539675864,1,2,0,1,D,"DQ,D10,DA,C9;C2,D8,C7,H3;S9,S10,S6,H5;HJ,S4,H4,H6"
1539675864,1,1,11,1,D,"C8,CA,S2,C5;SJ,S4,H2,SA;HQ,C10,D6,D8;H10,S5,D4,H8;SQ,C4,D9,H9"
1539675864,1,1,11,1,D,"D6,C3,DQ,S3;C2,CA,C4,C5;H4,H5,H6,H7;S5,H10,C8,SK;SJ,C10,CJ,SQ;D2,H9,HK,S9"
1539675864,1,3,0,1,H,"H5,HQ,S4,HA;H8,H4,C5,HJ;D5,D2,DJ,DA;CJ,CK,CA,C9;S8,S7,S6,D4;SK,H3,SJ,D6;S10,C8,CQ,D8"
1539675864,1,2,0,1,S,"C5,C4,CA,HK;C7,S3,C2,H5;H6,HA,H9,H2;D5,D3,DJ,DA;S10,HQ,S7,SA;DK,DQ,C6,S5;CJ,D4,C8,D2;CQ,HJ,CK,D10"
1539675864,1,2,0,1,H,"S2,SJ,C2,SK;H3,H8,H4,HA;H10,H6,D4,H7;H9,S5,D6,D10;DJ,S6,D8,D9;D2,S7,D7,D5;S8,S9,DQ,D3;C3,CJ,C9,CA;C7,S10,C6,SQ"
1539675864,1,2,12,1,C,"CK,C6,CA,CQ;H2,HA,HK,H5;H4,HQ,H3,DK;DA,D2,D5,DJ;C4,D10,C9,D9;S3,S10,S6,SA;S9,H9,SJ,SQ;HJ,D8,S8,S2;H7,H6,H10,S4;D3,D4,C5,S5"
1539675864,1,2,0,1,C,"CK,CA,C4,C8;S4,SK,S2,SA;HK,C7,CJ,C5;H8,HJ,H6,HA;HQ,D2,S7,C3;S8,H7,H10,H9;D3,DJ,DA,D10;D4,S6,SQ,H5;D5,S3,SJ,H4;D7,D6,S10,H3;DK,D9,S9,D8"
1539675864,1,6,0,1,D,"S9,S10,S2,SQ;D3,DK,D10,DA;D5,DQ,S5,D8;HA,HQ,HJ,HK;D7,DJ,C5,H6;C4,CJ,C10,CA;H10,S3,S8,S4;C9,C8,CK,C2;H9,D2,SK,S7;H8,D6,H7,C6;H5,H4,SJ,H2;H3,D4,CQ,C7"
1539675864,1,4,0,1,H,"DA,DJ,D6,DK;H10,HK,H8,D10;SA,SQ,SK,S7;H7,HJ,HQ,D8;SJ,H2,S2,S6;C4,CJ,C2,CA;H4,H9,S8,S4;CK,C10,C3,C7;H3,D2,C6,C9;DQ,D5,D7,D4;D3,C8,D9,CQ"
1539675864,1,3,0,1,H,"DJ,DA,D8,D2;D3,DK,HK,CK;S7,H4,HQ,CQ;SK,S4,S3,SJ;D10,DQ,S9,C6;C8,C10,H5,C4;SQ,H3,HJ,C3;C9,C2,H10,S8;CJ,C7,H9,S5;D6,D7,H7,S2"
1539675864,1,4,0,1,S,"S3,SA,SJ,SQ;D9,DA,DQ,HJ;HA,SK,S8,S9;H6,HQ,H5,H10;H8,D4,D3,H3;C2,D10,D2,CK;C3,H7,C7,C9;CJ,S6,S2,S5;C6,D6,C8,C4"
1539675864,1,4,0,1,D,"C3,CK,CA,C4;D2,CJ,C2,HK;D10,D9,D6,DK;D3,D8,C6,D5;HQ,C9,CQ,H6;S3,D4,H10,H2;S9,D7,C8,S8;SJ,S4,H9,S7"
1539675864,1,1,0,1,C,"CJ,C3,C6,C9;H5,H8,H3,HA;S3,H7,HQ,HK;S8,S2,S5,S10;DK,D6,S4,DJ;D9,D2,H10,D8;S9,H6,C4,D5"
1539675864,1,1,11,1,C,"HQ,H9,HJ,D8;D7,DQ,DA,D6;S3,SJ,S10,S6;S5,C2,DJ,CJ;D5,H6,SQ,C8;S9,D3,SK,S4"
1539675864,1,2,12,1,H,"C2,CA,C4,C6;D3,DA,D4,DJ;DK,D5,S2,H4;C8,SJ,C3,C5;S4,S9,S10,SA"
1539675864,1,2,0,1,C,"D3,DJ,D4,D9;HJ,CQ,D6,C5;SA,S4,S9,HK;H7,C10,H9,H10"
1539675864,1,1,11,1,S,"S9,SQ,C4,S5;H10,H6,D8,H8;D3,DJ,C9,DQ"
1539675864,1,1,0,0,C,"S9,C8,S3,SJ;D6,HQ,S5,CJ;C9,CA,C5,D7"
